lon,lat,region,elevation,temp,maxtemp,mintemp,prec,maxprec,minprec,ecoregion
-85.397459,12.890403,ca,325,24.395833333333332,30.100000381469727,18.600000381469727,1709,287,26,Central American Atlantic Moist Forests
-85.323079,13.032179,ca,294,24.50000015894572,30.200000762939453,18.5,1997,304,31,Central American Atlantic Moist Forests
-85.75177332,13.06749353,ca,429,24.054166475931805,30,17.799999237060547,1607,261,21,Central American Atlantic Moist Forests
-85.655576,13.34047,ca,634,22.683333317438763,28.399999618530273,16.600000381469727,1838,280,28,Central American Atlantic Moist Forests
-85.55637,13.359455,ca,770,22.03333314259847,27.5,16.200000762939453,1942,290,32,Central American Atlantic Moist Forests
-85.649068,13.339458,ca,668,22.60000006357829,28.200000762939453,16.600000381469727,1836,281,27,Central American Atlantic Moist Forests
-85.652952,13.342478,ca,542,23.329166730244953,29.200000762939453,17,1800,276,27,Central American Atlantic Moist Forests
-85.332066,13.033387,ca,322,24.31666652361552,30,18.299999237060547,2032,308,32,Central American Atlantic Moist Forests
-85.334636,13.030748000000001,ca,258,24.74583347638448,30.5,18.700000762939453,2021,330,30,Central American Atlantic Moist Forests
-85.741888,13.041604,ca,416,23.974999984105427,29.899999618530273,17.700000762939453,1620,259,21,Central American Pine-Oak Forests
-85.732107,13.036154,ca,596,23.208333412806194,29,17.100000381469727,1704,268,23,Central American Pine-Oak Forests
-85.724008,13.366581,ca,695,22.291666746139526,27.799999237060547,16.299999237060547,1810,272,26,Central American Atlantic Moist Forests
-85.62699168,13.37523718,ca,512,23.65000017484029,29.700000762939453,17.200000762939453,1825,276,28,Central American Atlantic Moist Forests
-85.743454,13.020695,ca,513,23.579166571299236,29.399999618530273,17.399999618530273,1628,259,22,Central American Pine-Oak Forests
-85.562666,12.94192,ca,639,22.741666475931805,28.299999237060547,17,1840,287,28,Central American Atlantic Moist Forests
-85.570693,12.965268,ca,495,23.512500127156574,29.200000762939453,17.600000381469727,1781,280,26,Central American Atlantic Moist Forests
-85.73581,13.019248,ca,517,23.52916646003723,29.399999618530273,17.399999618530273,1644,263,23,Central American Pine-Oak Forests
-85.557673,13.388257,ca,742,22.245833317438763,27.799999237060547,16.299999237060547,1959,290,35,Central American Atlantic Moist Forests
-89.452683,14.657254,ca,822,23.329166809717815,29.600000381469727,17.299999237060547,1103,222,2,Central American Pine-Oak Forests
-85.559794,13.393337,ca,679,22.69166644414266,28.299999237060547,16.600000381469727,1931,286,33,Central American Atlantic Moist Forests
-89.483357,14.640576,ca,589,24.43750015894572,30.700000762939453,18.200000762939453,949,201,1,Central American Pine-Oak Forests
